condition	sample
CS1910121003	CS1910121003-1
CS1910121003	CS1910121003-2
CS1910121003	CS1910121003-3
CS1910121078	CS1910121078-1
CS1910121078	CS1910121078-2
CS1910121078	CS1910121078-3
CS1910121050	CS1910121050-1
CS1910121050	CS1910121050-2
CS1910121050	CS1910121050-3
CS1910121106	CS1910121106-1
CS1910121106	CS1910121106-2
CS1910121106	CS1910121106-3
CS1910121047	CS1910121047-1
CS1910121047	CS1910121047-2
CS1910121047	CS1910121047-3
CS1910121077	CS1910121077-1
CS1910121077	CS1910121077-2
CS1910121077	CS1910121077-3
CS1910121020	CS1910121020-1
CS1910121020	CS1910121020-2
CS1910121020	CS1910121020-3
CS1910121044	CS1910121044-1
CS1910121044	CS1910121044-2
CS1910121044	CS1910121044-3
CS1910121086	CS1910121086-1
CS1910121086	CS1910121086-2
CS1910121086	CS1910121086-3
CS1910121060	CS1910121060-1
CS1910121060	CS1910121060-2
CS1910121060	CS1910121060-3
CS1910121016	CS1910121016-1
CS1910121016	CS1910121016-2
CS1910121016	CS1910121016-3
CS1910121006	CS1910121006-1
CS1910121006	CS1910121006-2
CS1910121006	CS1910121006-3
CS1910121096	CS1910121096-1
CS1910121096	CS1910121096-2
CS1910121096	CS1910121096-3
CS1910121054	CS1910121054-1
CS1910121054	CS1910121054-2
CS1910121054	CS1910121054-3
CS1910121014	CS1910121014-1
CS1910121014	CS1910121014-2
CS1910121014	CS1910121014-3
CS1910121022	CS1910121022-1
CS1910121022	CS1910121022-2
CS1910121022	CS1910121022-3
CS1910121100	CS1910121100-1
CS1910121100	CS1910121100-2
CS1910121100	CS1910121100-3
CS1910121102	CS1910121102-1
CS1910121102	CS1910121102-2
CS1910121102	CS1910121102-3
CS1910121061	CS1910121061-1
CS1910121061	CS1910121061-2
CS1910121061	CS1910121061-3
CS1910121062	CS1910121062-1
CS1910121062	CS1910121062-2
CS1910121062	CS1910121062-3
CS1910121031	CS1910121031-1
CS1910121031	CS1910121031-2
CS1910121031	CS1910121031-3
CS1910121087	CS1910121087-1
CS1910121087	CS1910121087-2
CS1910121087	CS1910121087-3
